plot,direction,moisture
36,Northwest,1.21
36,Northwest,1.13
36,Northeast,1.33
36,Northeast,0.52
36,Southwest,1.08
36,Southwest,1.14
36,Southeast,0.96
36,Southeast,1.19
30,Northwest,1.1
30,Northwest,0.78
30,Northeast,1.91
30,Northeast,1.28
30,Southwest,0.54
30,Southwest,0.54
30,Southeast,0
30,Southeast,0.68
23,Northwest,14.47
23,Northwest,5.37
23,Northeast,9.7
23,Northeast,10.6
23,Southwest,5.55
23,Southwest,11.16
23,Southeast,9.16
23,Southeast,13.15
11,Northwest,4.54
11,Northwest,7.63
11,Northeast,3.65
11,Northeast,2.84
11,Southwest,6.29
11,Southwest,6.67
11,Southeast,5.21
11,Southeast,7.04
