Plot,Direction,Moisture
16,Northeast,0.72
16,Northeast,0.88
16,Southeast,0.47
16,Southeast,0.6
16,Southwest,0.35
16,Southwest,0.88
16,Northwest,0.47
16,Northwest,1.05
10,Northeast,1.15
10,Northeast,1.97
10,Southeast,1.67
10,Southeast,1.49
10,Southwest,0.86
10,Southwest,1.53
10,Northwest,1.14
10,Northwest,3.24
27,Northeast,15.81
27,Northeast,14.37
27,Southeast,10.06
27,Southeast,12.49
27,Southwest,9.15
27,Southwest,13.29
27,Northwest,16.19
27,Northwest,14.18
39,Northeast,12
39,Northeast,13.98
39,Southeast,13.64
39,Southeast,11.84
39,Southwest,7.78
39,Southwest,10.63
39,Northwest,9.87
39,Northwest,10.91
