Plot,Direction,Soil Moisture %
13,Northeast,0.69
13,Northeast,0.84
13,Southeast,0.07
13,Southeast,1.62
13,Southwest,1.07
13,Southwest,0.7
13,Northwest,0.32
13,Northwest,0.74
38,Northeast,0.96
38,Northeast,1.55
38,Southeast,0.23
38,Southeast,0.23
38,Southwest,1.38
38,Southwest,1.33
38,Northwest,1.12
38,Northwest,0.12
22,Northeast,5.65
22,Northeast,10.89
22,Southeast,10.96
22,Southeast,8.27
22,Southwest,6.99
22,Southwest,10.64
22,Northwest,9.69
22,Northwest,5.54
26,Northeast,13.66
26,Northeast,9.22
26,Southeast,10.99
26,Southeast,6.44
26,Southwest,11.77
26,Southwest,9.7
26,Northwest,7.73
26,Northwest,12.38
